name,institution,country
Krishika H. Khemani,University of Nottingham,UK
Gionnieve Lim,Singapore University of Technology and Design,Singapore
Milan Milivojčević,University of Primorska,Slovenia
Anna Stock,MCI Management Center Innsbruck,Austria
Karolina Trajkovska,University of Primorska,Slovenia
Sabrina Zhong,UCL,UK
